Time,Bus,MessageID,Message,MessageLength
1580765517.9269814,0,170,1e901e901e9c1e93,8
1580765517.9271538,0,186,01b92098,4
1580765517.9274716,0,37,00000fff0000003b,8
1580765517.9276533,0,36,020001bc420580b2,8
1580765517.9284294,0,401,ebfffc326164ff76,8
1580765517.9304664,0,869,000000000cf400,7
1580765517.9311879,0,1084,0000020000202000,8
1580765517.9334838,0,643,0000000000008c,7
1580765517.9344542,0,742,fff800087fe0004e,8
1580765517.9370189,0,170,1e881e8a1e841e8a,8
1580765517.9372678,0,466,fd30f86000868066,8
1580765517.9374437,0,180,00000000e90422cb,8
1580765517.9377677,0,37,00000fff0000003b,8
1580765517.937947,0,552,f7ca00ef,4
1580765517.9381187,0,544,00000026,4
1580765517.9383006,0,562,4359185082c0,6
1580765517.9385045,0,740,ec000000d7,5
1580765517.9387226,0,565,0000000a180a006b,8
1580765517.9388926,0,426,0000000000b1,6
1580765517.9412653,0,464,05081000010001f8,8
1580765517.9429016,0,1020,00001e8032807098,8
1580765517.944297,0,608,00003efffd0039dd,8
1580765517.9453816,0,835,f9a263e000df000b,8
1580765517.9470472,0,170,1e7f1e811e711e82,8
1580765517.9476883,0,36,020001bc420480b1,8
1580765517.9480484,0,824,0000000000000000,8
1580765517.9485438,0,810,88b7,2
1580765517.948902,0,812,0000000000000037,8
1580765517.9493008,1,387,c226acf540f8f13e,8
1580765518.0883071,0,426,0000000000b1,6
1580765518.0906777,0,452,037b1b083700c065,8
1580765518.0915382,0,1541,0000000000000013,8
1580765518.0917127,0,829,0042,2
1580765518.093041,0,1020,00001f00330070a0,8
1580765518.0933816,0,643,0000000000008c,7
1580765518.0939221,0,1165,0000000000000000,8
1580765518.094507,0,742,fff800087fe0004e,8
1580765518.0957882,0,466,fd30f8fc00978013,8
1580765518.0963805,0,401,81ffff32096400b8,8
1580765518.0970404,0,170,1e211e241e211e21,8
1580765518.0974276,1,385,c5fff80000000046,8
1580765518.0975907,0,180,00000000f503c276,8
1580765518.098013,0,552,f8a500cb,4
1580765518.098184,1,386,c5fff80000000047,8
1580765518.0984666,1,387,c52670f4e0f9c175,8
1580765518.2243056,0,608,000073000800f6db,8
1580765518.2259636,0,464,044b10000100013a,8
1580765518.2263474,0,740,900000007b,5
1580765518.227026,0,170,1dd81dd51dd31dd7,8
1580765518.2272694,0,186,01c420a3,4
1580765518.2276068,0,36,020001c2420380b6,8
1580765518.22804,0,37,00000fff5000008b,8
1580765518.2319877,0,452,037d1b083700c067,8
1580765518.2327502,0,1553,2100002000000182,8
1580765518.2335346,0,835,fae663e000e60057,8
1580765518.237033,0,170,1dcd1dd01dcd1dd0,8
1580765518.2372983,0,180,00000000f9036e26,8
1580765518.2374942,0,37,00000fff5000008b,8
1580765518.2376997,0,552,f9d100f8,4
1580765518.237897,0,544,00000026,4
1580765518.2381089,0,562,657c2873a55b,6
1580765518.2404337,0,401,93000132006401c5,8
1580765518.2423022,0,467,00b0360f050000d6,8
1580765518.2431276,0,1020,00001e8032007098,8
1580765518.243348,0,705,08025a0263d20066,8
1580765518.244326,0,608,00007b000a00c5b4,8
1580765518.2445214,0,743,7d04000000000072,8
1580765518.2469327,0,170,1dc41dca1dc81dca,8
1580765518.2473023,1,291,010808008000bc,7
1580765518.247719,0,36,020001c1420580b7,8
1580765518.2479575,0,37,00000fff6000009b,8
1580765518.2481573,0,824,0000000000000000,8
1580765518.249173,0,865,061f000056360863,8
1580765518.249586,1,388,c81d420c60f9213a,8
1580765518.2502973,1,389,c81ac8f4cc01716a,8
1580765518.2513115,1,391,c808c0ffe8f9a1a1,8
1580765518.2516565,1,392,c82e4a4b800a48ee,8
1580765518.252299,1,393,c808c6ffc0f99171,8
1580765518.2525196,1,394,c815f20aa0fd4049,8
1580765518.2533574,1,395,c804a41540f9a8fa,8
1580765518.2543237,1,397,c81ad0f66001e180,8
1580765518.255373,1,399,c8135a0ae0fce093,8
1580765518.2563555,1,401,c800000000000062,8
1580765518.2565756,1,402,c800000000000063,8
1580765518.2569568,0,170,1dc41dc41dc71dc4,8
1580765518.257774,0,186,01c220a1,4
1580765518.257989,1,577,6000100100100100,8
1580765518.2582767,1,405,c80801000004289b,8
1580765518.2584965,1,578,6000100100100100,8
1580765518.2593372,1,407,c81264000004482a,8
1580765518.2595532,1,580,6000100100100100,8
1580765518.2597826,1,408,c816000260fe603f,8
